Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3161,6.52,19.26,1005.16,40.51,67.61,Warning
5179,7.59,19.30,1005.17,40.47,67.52,Warning
7197,7.59,19.30,1005.17,40.52,67.48,Warning
9215,7.78,19.29,1005.17,40.50,67.46,Warning
11233,7.41,19.29,1005.18,40.47,67.43,Warning
13251,7.05,19.30,1005.18,40.48,67.38,Warning
15269,6.87,19.30,1005.19,40.47,67.33,Warning
17287,7.05,19.30,1005.19,40.49,67.30,Warning
19305,7.05,19.31,1005.19,40.59,67.29,Warning
21323,6.87,19.31,1005.20,40.75,67.28,Warning
23343,6.87,19.31,1005.19,40.72,67.29,Warning
25361,7.23,19.32,1005.19,40.67,67.29,Warning
27379,7.05,19.32,1005.19,40.61,67.32,Warning
29397,7.23,19.32,1005.19,40.56,67.36,Warning
31415,7.78,19.32,1005.18,40.57,67.42,Warning
33433,8.15,19.32,1005.17,40.57,67.45,Warning
35451,8.35,19.33,1005.18,40.55,67.43,Warning
37469,8.35,19.33,1005.18,40.55,67.40,Warning
39487,8.35,19.33,1005.18,40.52,67.43,Warning
41505,8.35,19.34,1005.18,40.53,67.40,Warning
43523,8.54,19.34,1005.18,40.57,67.41,Warning
45543,7.59,19.34,1005.18,40.61,67.38,Warning
47561,7.78,19.34,1005.18,40.48,67.39,Warning
49579,7.41,19.34,1005.19,40.48,67.34,Warning
51597,7.59,19.34,1005.19,40.36,67.32,Warning
53615,7.41,19.34,1005.19,40.27,67.32,Warning
55633,6.69,19.34,1005.19,40.20,67.32,Warning
57651,6.01,19.34,1005.20,40.15,67.25,Warning
59669,5.52,19.34,1005.20,40.11,67.22,Warning
61687,5.20,19.34,1005.20,40.06,67.21,Warning
63705,5.35,19.34,1005.21,39.97,67.19,Warning
65723,5.68,19.34,1005.20,39.90,67.21,Warning
67743,5.52,19.34,1005.21,39.96,67.19,Warning
69761,5.35,19.34,1005.21,40.06,67.17,Warning
71779,5.35,19.34,1005.21,40.17,67.14,Warning
73797,5.68,19.33,1005.21,40.27,67.15,Warning
75815,6.87,19.33,1005.21,40.26,67.13,Warning
77833,6.69,19.33,1005.21,40.25,67.16,Warning
79851,7.05,19.34,1005.21,40.20,67.16,Warning
81869,7.59,19.34,1005.21,40.21,67.16,Warning
83887,6.87,19.34,1005.21,40.14,67.16,Warning
85905,6.87,19.34,1005.21,40.17,67.17,Warning
87923,7.05,19.34,1005.21,40.14,67.14,Warning
89943,7.05,19.33,1005.21,40.12,67.16,Warning
91961,7.05,19.34,1005.21,40.20,67.13,Warning
93979,7.78,19.34,1005.21,40.28,67.13,Warning
95997,7.59,19.34,1005.21,40.26,67.14,Warning
98015,6.87,19.34,1005.21,40.28,67.19,Warning
100033,6.01,19.34,1005.20,40.26,67.21,Warning
102051,5.52,19.34,1005.20,40.23,67.22,Warning
104069,5.35,19.34,1005.20,40.22,67.22,Warning
106087,5.68,19.34,1005.21,40.23,67.19,Warning
108105,6.01,19.34,1005.20,40.26,67.24,Warning
110123,5.68,19.33,1005.19,40.27,67.35,Warning
112143,5.35,19.33,1005.19,40.26,67.35,Warning
114161,5.52,19.34,1005.19,40.23,67.32,Warning
116179,6.01,19.34,1005.20,40.18,67.27,Warning
118197,6.69,19.34,1005.20,40.27,67.23,Warning
120215,6.69,19.34,1005.20,40.22,67.22,Warning
122233,6.69,19.34,1005.21,40.27,67.17,Warning
124251,7.23,19.34,1005.21,40.27,67.15,Warning
126269,7.05,19.34,1005.21,40.18,67.12,Warning
