Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3161,1.87,20.09,1003.11,39.79,84.80,Safe
5179,1.87,20.14,1003.10,39.77,84.86,Safe
7197,1.87,20.13,1003.11,39.75,84.80,Safe
9215,1.87,20.13,1003.11,39.74,84.78,Safe
11233,1.87,20.12,1003.11,39.75,84.75,Safe
13275,1.87,20.12,1003.11,39.75,84.73,Safe
15293,1.87,20.12,1003.11,39.78,84.73,Safe
17311,1.87,20.12,1003.11,39.77,84.75,Safe
19329,1.87,20.12,1003.11,39.77,84.73,Safe
21347,1.87,20.12,1003.11,39.74,84.80,Safe
23365,1.87,20.13,1003.10,39.75,84.86,Safe
25385,1.87,20.13,1003.09,39.77,84.93,Safe
27403,1.87,20.13,1003.09,39.78,84.96,Safe
29421,1.87,20.13,1003.08,39.75,85.03,Safe
31439,1.87,20.13,1003.08,39.77,85.04,Safe
33457,1.87,20.13,1003.07,39.78,85.08,Safe
35475,1.87,20.13,1003.07,39.82,85.11,Safe
37493,1.87,20.13,1003.07,39.84,85.10,Safe
39511,1.87,20.13,1003.07,39.85,85.12,Safe
41529,1.87,20.14,1003.07,39.83,85.07,Safe
43547,1.87,20.14,1003.07,39.82,85.09,Safe
45565,1.87,20.14,1003.07,39.79,85.12,Safe
47583,1.87,20.14,1003.07,39.77,85.12,Safe
49599,1.87,20.14,1003.07,39.77,85.13,Safe
51617,1.87,20.14,1003.07,39.77,85.14,Safe
53635,1.87,20.14,1003.06,39.78,85.18,Safe
55653,1.87,20.14,1003.06,39.79,85.21,Safe
57671,1.87,20.14,1003.06,39.80,85.19,Safe
59689,1.87,20.14,1003.06,39.80,85.18,Safe
61707,1.87,20.14,1003.06,39.80,85.20,Safe
63725,1.87,20.15,1003.06,39.77,85.20,Safe
65743,1.87,20.15,1003.06,39.72,85.23,Safe
67761,1.87,20.15,1003.05,39.75,85.24,Safe
69779,1.87,20.15,1003.05,39.76,85.25,Safe
71799,1.87,20.15,1003.05,39.77,85.30,Safe
73817,1.87,20.15,1003.05,39.77,85.28,Safe
75835,1.87,20.15,1003.05,39.82,85.29,Safe
77853,1.87,20.15,1003.05,39.84,85.28,Safe
79871,1.87,20.15,1003.05,39.79,85.25,Safe
81889,1.87,20.16,1003.05,39.75,85.25,Safe
83907,1.87,20.16,1003.06,39.75,85.20,Safe
85925,1.87,20.16,1003.06,39.75,85.19,Safe
87943,1.87,20.16,1003.05,39.73,85.24,Safe
89961,1.87,20.17,1003.06,39.76,85.21,Safe
91979,1.87,20.17,1003.06,39.81,85.21,Safe
93997,1.87,20.17,1003.06,39.86,85.22,Safe
96017,1.87,20.17,1003.06,39.94,85.19,Safe
98035,1.87,20.17,1003.06,39.92,85.20,Safe
100053,1.87,20.18,1003.06,39.87,85.17,Safe
102071,1.87,20.18,1003.06,39.81,85.20,Safe
104089,1.87,20.18,1003.06,39.80,85.22,Safe
106107,1.87,20.18,1003.06,39.77,85.18,Safe
108125,1.87,20.18,1003.06,39.72,85.20,Safe
110143,1.87,20.18,1003.06,39.70,85.20,Safe
112161,1.87,20.18,1003.06,39.67,85.21,Safe
114179,1.87,20.18,1003.06,39.67,85.22,Safe
116197,1.87,20.18,1003.05,39.69,85.24,Safe
118215,1.87,20.18,1003.05,39.75,85.26,Safe
120235,1.87,20.18,1003.05,39.72,85.26,Safe
122253,1.87,20.18,1003.05,39.75,85.26,Safe
124271,1.87,20.18,1003.05,39.74,85.30,Safe
126289,1.87,20.18,1003.05,39.75,85.30,Safe
128307,1.87,20.18,1003.05,39.74,85.28,Safe
130325,1.87,20.18,1003.05,39.72,85.28,Safe
132343,1.87,20.19,1003.05,39.70,85.26,Safe
134361,1.87,20.19,1003.05,39.68,85.27,Safe
136379,1.87,20.19,1003.05,39.66,85.26,Safe
138397,1.87,20.19,1003.05,39.68,85.27,Safe
140415,1.87,20.19,1003.05,39.69,85.30,Safe
142433,1.87,20.19,1003.05,39.69,85.30,Safe
144453,1.87,20.19,1003.05,39.70,85.28,Safe
146471,1.87,20.19,1003.05,39.69,85.25,Safe
148489,1.87,20.19,1003.06,39.69,85.22,Safe
150507,1.87,20.19,1003.05,39.70,85.25,Safe
152525,1.87,20.19,1003.06,39.69,85.23,Safe
154543,1.87,20.19,1003.05,39.70,85.28,Safe
156561,1.87,20.20,1003.05,39.68,85.29,Safe
158579,1.87,20.20,1003.05,39.66,85.31,Safe
160597,1.87,20.20,1003.05,39.64,85.31,Safe
162615,1.87,20.20,1003.04,39.60,85.32,Safe
164633,1.87,20.20,1003.04,39.62,85.33,Safe
166653,1.87,20.20,1003.04,39.62,85.35,Safe
168671,1.87,20.20,1003.04,39.62,85.34,Safe
170689,1.87,20.20,1003.05,39.64,85.31,Safe
172707,1.87,20.20,1003.04,39.63,85.32,Safe
174725,1.66,20.20,1003.04,39.73,85.33,Safe
