Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3157,3.44,18.79,996.67,53.64,139.00,Safe
5173,3.44,18.84,996.69,53.70,138.77,Safe
7189,3.44,18.83,996.69,53.78,138.77,Safe
9205,3.44,18.82,996.69,53.79,138.76,Safe
11221,3.31,18.82,996.69,53.79,138.80,Safe
13237,3.31,18.81,996.69,53.82,138.78,Safe
15253,3.31,18.80,996.68,53.89,138.84,Safe
17269,3.31,18.80,996.68,53.89,138.84,Safe
19285,3.31,18.79,996.68,53.92,138.87,Safe
21301,3.31,18.78,996.68,54.06,138.89,Safe
23317,3.31,18.78,996.68,54.09,138.87,Safe
25335,3.18,18.77,996.67,54.13,138.92,Safe
27351,3.18,18.77,996.67,54.09,138.92,Safe
29367,3.18,18.76,996.68,54.22,138.90,Safe
31383,3.18,18.75,996.68,54.23,138.92,Safe
33399,3.18,18.75,996.68,54.25,138.89,Safe
35415,3.18,18.74,996.68,54.23,138.90,Safe
37431,3.18,18.73,996.68,54.19,138.88,Safe
39447,3.18,18.73,996.68,54.11,138.91,Safe
41463,3.05,18.72,996.67,53.73,138.93,Safe
43479,3.05,18.72,996.67,53.51,138.92,Safe
45495,3.05,18.71,996.67,53.50,138.94,Safe
47511,3.18,18.71,996.68,53.51,138.90,Safe
49525,3.05,18.70,996.68,53.56,138.90,Safe
51541,3.05,18.70,996.68,53.58,138.86,Safe
53557,3.05,18.70,996.68,53.23,138.89,Safe
55573,3.05,18.69,996.68,53.21,138.85,Safe
57589,3.05,18.69,996.68,53.05,138.89,Safe
59605,3.05,18.69,996.68,52.86,138.91,Safe
61621,3.05,18.68,996.67,52.78,138.95,Safe
63637,2.92,18.68,996.67,52.73,138.98,Safe
65653,3.05,18.68,996.67,52.67,138.99,Safe
67669,2.92,18.67,996.66,52.64,139.02,Safe
69685,2.92,18.67,996.66,52.64,139.05,Safe
71703,2.92,18.67,996.66,52.64,139.05,Safe
73719,2.92,18.67,996.66,52.70,139.08,Safe
75735,2.92,18.66,996.66,52.83,139.09,Safe
77751,2.92,18.66,996.66,52.87,139.08,Safe
79767,2.92,18.66,996.65,53.01,139.12,Safe
81783,2.92,18.65,996.65,53.18,139.15,Safe
83805,2.92,18.65,996.65,53.34,139.15,Safe
85821,2.92,18.65,996.65,53.43,139.11,Safe
87837,2.92,18.65,996.66,53.58,139.04,Safe
89853,2.92,18.64,996.66,53.81,139.06,Safe
91869,2.92,18.64,996.66,53.93,139.04,Safe
93885,2.92,18.64,996.66,53.72,139.03,Safe
95903,2.92,18.64,996.66,53.76,139.01,Safe
97919,2.92,18.63,996.66,53.78,139.02,Safe
99935,2.92,18.63,996.66,53.83,139.05,Safe
101951,2.92,18.62,996.66,53.84,139.06,Safe
103967,2.92,18.62,996.66,53.87,139.07,Safe
105983,2.92,18.62,996.66,53.85,139.06,Safe
107999,2.92,18.62,996.66,53.76,139.04,Safe
110015,2.92,18.61,996.66,53.65,139.06,Safe
112031,2.92,18.61,996.66,53.51,139.05,Safe
114047,2.80,18.60,996.65,53.45,139.10,Safe
116063,2.80,18.60,996.66,53.28,139.09,Safe
118079,2.80,18.60,996.65,53.18,139.10,Safe
120097,2.80,18.59,996.66,53.15,139.08,Safe
122113,2.80,18.59,996.66,53.14,139.07,Safe
124129,2.80,18.59,996.66,53.07,139.07,Safe
126145,2.80,18.58,996.65,53.07,139.10,Safe
128161,2.80,18.58,996.66,53.07,139.07,Safe
130177,2.80,18.58,996.66,53.05,139.05,Safe
132193,2.80,18.57,996.66,52.99,139.05,Safe
134209,2.80,18.57,996.66,53.02,139.05,Safe
136225,2.80,18.56,996.66,53.11,139.05,Safe
138241,2.80,18.56,996.66,53.17,139.07,Safe
140257,2.80,18.55,996.66,53.30,139.07,Safe
142273,2.80,18.55,996.65,53.31,139.11,Safe
144291,2.80,18.55,996.66,53.34,139.08,Safe
146307,2.80,18.54,996.66,53.48,139.08,Safe
148323,2.80,18.54,996.65,53.61,139.10,Safe
150339,2.80,18.53,996.65,53.70,139.12,Safe
152355,2.80,18.53,996.65,53.79,139.12,Safe
154371,2.80,18.52,996.65,53.82,139.14,Safe
156387,2.80,18.52,996.65,54.00,139.17,Safe
158403,2.80,18.51,996.64,53.96,139.18,Safe
160419,2.80,18.51,996.64,53.99,139.20,Safe
162435,2.80,18.51,996.65,54.00,139.16,Safe
164451,2.80,18.50,996.65,53.98,139.14,Safe
166469,2.80,18.50,996.65,53.75,139.14,Safe
168485,2.80,18.49,996.65,53.77,139.11,Safe
170501,2.80,18.49,996.65,53.70,139.10,Safe
172517,2.80,18.48,996.65,53.47,139.10,Safe
174533,2.80,18.48,996.66,53.37,139.08,Safe
176549,2.80,18.48,996.65,53.27,139.09,Safe
178565,2.80,18.47,996.66,53.16,139.07,Safe
180581,2.80,18.47,996.65,53.11,139.13,Safe
182597,2.80,18.46,996.64,53.06,139.18,Safe
184613,2.80,18.46,996.64,52.99,139.18,Safe
186629,2.80,18.45,996.64,53.01,139.21,Safe
188645,2.80,18.45,996.64,52.99,139.19,Safe
190672,2.80,18.45,996.64,53.00,139.20,Safe
192690,2.80,18.44,996.64,53.01,139.21,Safe
194708,2.80,18.44,996.64,53.06,139.20,Safe
196726,2.80,18.44,996.65,53.13,139.17,Safe
198744,2.80,18.43,996.65,53.20,139.14,Safe
200762,2.80,18.43,996.65,53.25,139.17,Safe
202780,2.80,18.43,996.65,53.33,139.16,Safe
204798,2.80,18.42,996.65,53.37,139.17,Safe
206816,2.67,18.42,996.65,53.44,139.13,Safe
208834,2.67,18.42,996.65,53.50,139.16,Safe
210852,2.67,18.41,996.64,53.51,139.18,Safe
212870,2.67,18.41,996.64,53.56,139.20,Safe
214890,2.80,18.41,996.64,53.60,139.23,Safe
216908,2.67,18.40,996.64,53.65,139.22,Safe
218926,2.67,18.40,996.64,53.66,139.21,Safe
220944,2.67,18.40,996.64,53.67,139.22,Safe
222962,2.80,18.39,996.64,53.69,139.23,Safe
224980,2.67,18.39,996.64,53.74,139.21,Safe
226998,2.67,18.39,996.64,53.79,139.24,Safe
229016,2.67,18.38,996.64,53.84,139.21,Safe
231034,2.67,18.38,996.64,53.78,139.24,Safe
233052,2.67,18.38,996.64,53.75,139.23,Safe
235070,2.67,18.37,996.63,53.77,139.26,Safe
237090,2.67,18.37,996.63,53.63,139.27,Safe
239108,2.67,18.36,996.63,53.52,139.28,Safe
241126,2.80,18.36,996.63,53.48,139.31,Safe
243144,2.67,18.36,996.64,53.51,139.26,Safe
245162,2.67,18.35,996.64,53.51,139.22,Safe
247180,2.80,18.35,996.64,53.52,139.21,Safe
249198,2.80,18.35,996.64,53.58,139.24,Safe
251216,2.67,18.35,996.64,53.63,139.18,Safe
253234,2.67,18.34,996.64,53.71,139.21,Safe
255252,2.67,18.34,996.64,53.81,139.20,Safe
257270,2.67,18.34,996.64,53.81,139.19,Safe
259288,2.67,18.33,996.65,53.78,139.17,Safe
261308,2.67,18.33,996.64,53.82,139.18,Safe
263326,2.67,18.33,996.64,53.99,139.18,Safe
265344,2.67,18.32,996.64,54.16,139.18,Safe
267362,2.67,18.32,996.65,54.19,139.14,Safe
269380,2.67,18.32,996.65,54.17,139.14,Safe
271398,2.67,18.32,996.65,54.11,139.14,Safe
273416,2.67,18.31,996.65,53.97,139.16,Safe
275434,2.67,18.31,996.65,53.95,139.16,Safe
277452,2.67,18.31,996.65,53.96,139.14,Safe
279470,2.67,18.31,996.65,54.07,139.13,Safe
281488,2.67,18.30,996.65,54.38,139.12,Safe
283508,2.67,18.30,996.66,54.35,139.09,Safe
285526,2.67,18.29,996.66,54.26,139.07,Safe
287544,2.67,18.29,996.66,54.24,139.02,Safe
289562,2.67,18.29,996.67,54.18,138.98,Safe
291580,2.67,18.28,996.67,54.36,139.00,Safe
293598,2.67,18.28,996.67,54.20,138.99,Safe
295616,2.67,18.28,996.67,54.13,139.00,Safe
297634,2.67,18.27,996.67,54.10,138.99,Safe
299652,2.67,18.27,996.67,54.13,138.97,Safe
301670,2.67,18.27,996.67,54.24,138.98,Safe
303688,2.67,18.27,996.67,54.23,138.94,Safe
305706,2.67,18.26,996.67,54.31,138.95,Safe
307726,2.67,18.26,996.67,54.38,138.96,Safe
309744,2.67,18.26,996.67,54.43,138.95,Safe
311762,2.67,18.25,996.66,54.41,139.01,Safe
313780,2.67,18.25,996.66,54.52,139.02,Safe
315798,2.67,18.25,996.67,54.58,138.99,Safe
317816,2.67,18.24,996.67,54.56,139.00,Safe
319834,2.67,18.24,996.66,54.59,139.03,Safe
321852,2.67,18.24,996.65,54.58,139.10,Safe
323870,2.67,18.23,996.65,54.46,139.16,Safe
325888,2.67,18.23,996.65,54.41,139.17,Safe
327906,2.67,18.23,996.64,54.42,139.18,Safe
329949,2.67,18.23,996.64,54.46,139.20,Safe
331969,2.67,18.22,996.64,54.51,139.21,Safe
333987,2.67,18.22,996.64,54.50,139.24,Safe
336005,2.67,18.22,996.64,54.47,139.25,Safe
338023,2.67,18.22,996.63,54.46,139.27,Safe
340041,2.67,18.21,996.63,54.51,139.28,Safe
342059,2.67,18.21,996.64,54.53,139.25,Safe
344077,2.67,18.21,996.63,54.50,139.28,Safe
346095,2.67,18.20,996.63,54.55,139.28,Safe
348113,2.67,18.20,996.63,54.66,139.31,Safe
350131,2.67,18.20,996.63,54.72,139.30,Safe
352149,2.67,18.20,996.63,54.71,139.27,Safe
354169,2.67,18.20,996.63,54.72,139.31,Safe
356187,2.67,18.19,996.62,54.72,139.34,Safe
358205,2.67,18.19,996.62,54.76,139.34,Safe
360223,2.67,18.19,996.62,54.72,139.36,Safe
362241,2.67,18.19,996.62,54.64,139.39,Safe
364259,2.67,18.18,996.62,54.65,139.39,Safe
366277,2.67,18.18,996.62,54.64,139.40,Safe
368295,2.67,18.18,996.62,54.61,139.35,Safe
370313,2.67,18.18,996.62,54.55,139.40,Safe
372331,2.67,18.18,996.62,54.54,139.42,Safe
374349,2.67,18.17,996.61,54.68,139.44,Safe
376367,2.67,18.17,996.61,54.77,139.45,Safe
378393,2.67,18.17,996.61,54.90,139.45,Safe
380411,2.67,18.17,996.61,54.85,139.46,Safe
382429,2.67,18.16,996.61,54.80,139.46,Safe
384447,2.67,18.16,996.61,54.81,139.47,Safe
386465,2.55,18.15,996.61,54.72,139.48,Safe
388483,2.55,18.15,996.61,54.70,139.46,Safe
390501,2.55,18.15,996.61,54.70,139.47,Safe
392519,2.55,18.14,996.61,54.71,139.49,Safe
394537,2.67,18.14,996.60,54.76,139.51,Safe
396555,2.55,18.13,996.61,54.83,139.50,Safe
398573,2.67,18.13,996.60,54.82,139.53,Safe
400591,2.67,18.13,996.60,54.74,139.52,Safe
402611,2.67,18.12,996.60,54.59,139.58,Safe
404629,2.67,18.12,996.60,54.51,139.58,Safe
406647,2.55,18.12,996.60,54.55,139.57,Safe
408665,2.67,18.12,996.60,54.71,139.56,Safe
410683,2.67,18.11,996.60,54.90,139.59,Safe
412701,2.67,18.11,996.59,54.92,139.61,Safe
414719,2.55,18.11,996.59,54.84,139.63,Safe
416737,2.67,18.10,996.59,54.77,139.66,Safe
418755,2.67,18.10,996.59,54.73,139.65,Safe
420773,2.55,18.09,996.59,54.76,139.68,Safe
422791,2.55,18.09,996.58,54.70,139.68,Safe
424811,2.55,18.09,996.59,54.77,139.66,Safe
426829,2.55,18.08,996.58,54.83,139.69,Safe
428847,2.67,18.08,996.59,55.00,139.67,Safe
430865,2.55,18.08,996.59,55.08,139.65,Safe
432883,2.55,18.08,996.59,55.07,139.65,Safe
434901,2.55,18.07,996.59,55.18,139.67,Safe
436919,2.55,18.07,996.59,55.25,139.65,Safe
438937,2.55,18.07,996.59,55.20,139.63,Safe
440955,2.67,18.07,996.59,55.08,139.62,Safe
442973,2.55,18.06,996.59,54.97,139.64,Safe
444991,2.55,18.06,996.59,54.90,139.66,Safe
447009,2.67,18.06,996.59,54.87,139.65,Safe
449029,2.55,18.06,996.59,54.93,139.63,Safe
451047,2.67,18.06,996.59,54.85,139.65,Safe
453065,2.67,18.05,996.59,54.85,139.67,Safe
455083,2.67,18.05,996.59,54.86,139.64,Safe
457101,2.55,18.05,996.59,54.82,139.65,Safe
459119,2.67,18.05,996.59,54.85,139.65,Safe
461137,2.55,18.05,996.59,54.78,139.66,Safe
463155,2.67,18.05,996.59,54.73,139.63,Safe
465173,2.67,18.05,996.59,54.75,139.62,Safe
467191,2.67,18.04,996.59,54.86,139.62,Safe
469209,2.55,18.04,996.59,54.91,139.66,Safe
471227,2.55,18.04,996.59,54.90,139.64,Safe
473247,2.55,18.04,996.59,54.86,139.65,Safe
475265,2.67,18.04,996.58,54.83,139.70,Safe
477283,2.67,18.03,996.58,54.81,139.71,Safe
479301,2.67,18.03,996.58,54.81,139.71,Safe
481319,2.55,18.03,996.58,54.74,139.71,Safe
483337,2.67,18.03,996.58,54.82,139.75,Safe
485355,2.67,18.03,996.58,54.97,139.75,Safe
487373,2.67,18.03,996.57,54.96,139.78,Safe
489391,2.67,18.03,996.58,54.83,139.74,Safe
491409,2.55,18.02,996.58,54.87,139.75,Safe
493427,2.55,18.02,996.57,55.12,139.77,Safe
495447,2.67,18.02,996.57,55.21,139.79,Safe
497465,2.67,18.02,996.57,55.24,139.78,Safe
499483,2.55,18.01,996.57,55.21,139.78,Safe
501501,2.55,18.01,996.57,55.22,139.79,Safe
503519,2.55,18.01,996.57,55.27,139.78,Safe
505537,2.55,18.01,996.58,55.24,139.70,Safe
507555,2.55,18.00,996.58,55.25,139.73,Safe
509573,2.55,18.00,996.58,55.24,139.75,Safe
511591,2.67,18.00,996.58,55.42,139.74,Safe
513609,2.67,17.99,996.58,55.39,139.74,Safe
515627,2.67,17.99,996.58,55.31,139.76,Safe
517645,2.67,17.99,996.58,55.30,139.76,Safe
519665,2.55,17.99,996.57,55.25,139.80,Safe
521683,2.55,17.98,996.57,55.23,139.82,Safe
523701,2.67,17.98,996.57,55.14,139.82,Safe
525719,2.55,17.98,996.57,55.08,139.84,Safe
527737,2.55,17.98,996.56,54.99,139.88,Safe
529755,2.67,17.98,996.56,54.91,139.88,Safe
531773,2.55,17.97,996.55,54.91,139.95,Safe
533791,2.55,17.97,996.56,54.91,139.93,Safe
535809,2.67,17.97,996.55,54.91,139.95,Safe
537827,2.55,17.97,996.56,54.97,139.92,Safe
539845,2.55,17.97,996.55,54.95,139.94,Safe
541865,2.55,17.97,996.56,55.19,139.91,Safe
543883,2.55,17.97,996.56,55.24,139.88,Safe
545901,2.55,17.96,996.56,55.27,139.87,Safe
547919,2.55,17.96,996.56,55.27,139.89,Safe
549937,2.55,17.96,996.55,55.19,139.94,Safe
551955,2.55,17.96,996.56,55.09,139.91,Safe
553973,2.55,17.96,996.55,55.09,139.93,Safe
555991,2.55,17.95,996.55,55.21,139.95,Safe
558009,2.55,17.95,996.55,55.26,139.99,Safe
560027,2.55,17.95,996.54,55.22,140.03,Safe
562045,2.55,17.95,996.54,55.15,140.03,Safe
564063,2.55,17.94,996.54,55.19,140.07,Safe
566089,2.55,17.94,996.53,55.26,140.10,Safe
568107,2.55,17.94,996.53,55.40,140.11,Safe
570125,2.55,17.94,996.53,55.23,140.13,Safe
572143,2.55,17.93,996.53,55.08,140.17,Safe
574167,2.55,17.93,996.53,55.00,140.17,Safe
576185,2.55,17.93,996.52,54.99,140.20,Safe
578203,2.55,17.93,996.52,55.04,140.20,Safe
580221,2.55,17.93,996.52,55.05,140.26,Safe
582239,2.55,17.93,996.52,55.00,140.25,Safe
584257,2.55,17.93,996.52,55.04,140.24,Safe
586275,2.67,17.92,996.52,55.26,140.25,Safe
588293,2.67,17.92,996.52,55.47,140.21,Safe
590313,2.55,17.92,996.53,55.69,140.18,Safe
592331,2.55,17.92,996.52,55.70,140.20,Safe
594349,2.55,17.91,996.52,55.80,140.23,Safe
596367,2.55,17.91,996.52,55.83,140.21,Safe
